内部ID,当前引擎转速,当前引擎温度,前一次时间段至此引擎平均转速,引擎负荷,入库时间
352016850081381,2067,96,719,28,6/10/14
352016850081381,1991,96,719,29,6/10/14
352016850081381,1907,95,719,28,6/10/14
352016850081381,1702,95,719,29,6/10/14
352016850081381,1795,95,719,86,6/10/14
352016850081381,1941,95,719,63,6/10/14
352016850081381,1963,96,719,55,6/10/14
352016850081381,1929,98,719,29,6/10/14
352016850081381,1840,98,719,37,6/10/14
352016850081381,1902,98,719,38,6/10/14
352016850081381,1917,98,719,31,6/10/14
352016850081381,1811,98,719,38,6/10/14
352016850081381,1662,96,719,30,6/10/14
352016850081381,1615,96,719,77,6/10/14
352016850081381,1710,96,719,75,6/10/14
352016850081381,1811,96,719,59,6/10/14
352016850081381,1886,98,719,60,6/10/14
352016850081381,1929,98,719,68,6/10/14
352016850081381,1911,98,719,29,6/10/14
352016850081381,1779,98,719,28,6/10/14
352016850081381,1768,98,719,28,6/10/14
352016850081381,1794,96,719,47,6/10/14
352016850081381,1857,96,719,28,6/10/14
352016850081381,1874,96,719,33,6/10/14
352016850081381,1804,95,719,31,6/10/14
352016850081381,1731,95,719,74,6/10/14
352016850081381,1746,96,719,37,6/10/14
352016850081381,1699,96,719,95,6/10/14
352016850081381,1731,98,719,37,6/10/14
352016850081381,1707,98,719,30,6/10/14
352016850081381,1565,98,719,31,6/10/14
352016850081381,1687,98,719,68,6/10/14
352016850081381,1755,98,719,98,6/10/14
352016850081381,1845,96,719,72,6/10/14
352016850081381,1848,96,719,69,6/10/14
352016850081381,1783,96,719,29,6/10/14
352016850081381,1857,96,719,76,6/10/14
352016850081381,1812,96,719,84,6/10/14
352016850081381,1746,98,719,83,6/10/14
352016850081381,1620,98,719,33,6/10/14
352016850081381,1432,98,719,32,6/10/14
352016850081381,1504,98,719,31,6/10/14
352016850081381,1698,98,719,29,6/10/14
352016850081381,1816,96,719,28,6/10/14
352016850081381,1588,96,719,33,6/10/14
352016850081381,1717,95,719,80,6/10/14
352016850081381,2072,95,719,27,6/10/14
352016850081381,2316,96,719,98,6/10/14
352016850081381,2138,98,719,51,6/10/14
352016850081381,2209,98,719,31,6/10/14
352016850081381,2156,98,719,28,6/10/14
352016850081381,2166,98,719,27,6/10/14
352016850081381,2157,98,719,46,6/10/14
352016850081381,2278,96,719,61,6/10/14
352016850081381,2346,96,719,28,6/10/14
352016850081381,2154,96,719,31,6/10/14
352016850081381,2123,98,719,30,6/10/14
352016850081381,2047,98,719,30,6/10/14
352016850081381,1846,98,719,59,6/10/14
352016850081381,1792,98,719,35,6/10/14
352016850081381,1812,98,719,30,6/10/14
352016850081381,1864,98,719,56,6/10/14
352016850081381,1886,98,719,29,6/10/14
352016850081381,1815,98,719,35,6/10/14
352016850081381,1789,98,719,39,6/10/14
352016850081381,1737,98,719,31,6/10/14
352016850081381,1817,98,719,30,6/10/14
352016850081381,1772,98,719,30,6/10/14
352016850081381,1701,98,719,60,6/10/14
352016850081381,1711,80,480,38,6/12/14
352016850081381,1112,81,480,17,6/12/14
352016850081381,542,81,480,26,6/12/14
352016850081381,1469,82,480,26,6/12/14
352016850081381,1445,82,480,13,6/12/14
352016850081381,1732,82,480,25,6/12/14
352016850081381,1670,82,480,31,6/12/14
352016850081381,775,83,480,16,6/12/14
352016850081381,582,83,480,22,6/12/14
352016850081381,839,83,480,26,6/12/14
352016850081381,1135,83,480,28,6/12/14
352016850081381,1716,83,480,11,6/12/14
352016850081381,1608,84,480,42,6/12/14
352016850081381,863,86,216,35,6/19/14
352016850081381,818,86,216,18,6/19/14
352016850081381,920,86,216,43,6/19/14
352016850081381,1743,86,216,50,6/19/14
352016850081381,1712,87,216,18,6/19/14
352016850081381,1342,87,216,10,6/19/14
352016850081381,1513,87,216,26,6/19/14
352016850081381,1131,87,216,13,6/19/14
352016850081381,1523,87,216,39,6/19/14
352016850081381,1769,87,216,44,6/19/14
352016850081381,1681,89,216,69,6/19/14
352016850081381,1671,89,216,19,6/19/14
352016850081381,1660,89,216,70,6/19/14
352016850081381,2300,89,216,29,6/19/14
352016850081381,1676,87,216,5,6/19/14
352016850081381,1234,87,216,7,6/19/14
352016850081381,1064,86,216,6,6/19/14
352016850081381,1014,85,216,49,6/19/14
352016850081381,1379,85,216,42,6/19/14
352016850081381,1656,86,216,45,6/19/14
352016850081381,-1,86,216,45,6/19/14
352016850081381,1635,87,216,13,6/19/14
352016850081381,659,87,216,15,6/19/14
352016850081381,598,89,216,23,6/19/14
352016850081381,1032,87,216,31,6/19/14
352016850081381,1689,89,216,24,6/19/14
352016850081381,1435,89,216,36,6/19/14
352016850081381,1370,90,216,18,6/19/14
352016850081381,539,90,216,29,6/19/14
352016850081381,645,90,216,24,6/19/14
352016850081381,664,90,216,23,6/19/14
352016850081381,676,91,216,24,6/19/14
352016850081381,872,91,216,49,6/19/14
352016850081381,1854,91,216,17,6/19/14
352016850081381,1352,91,216,14,6/19/14
352016850081381,1613,93,216,60,6/19/14
352016850081381,1693,93,216,57,6/19/14
352016850081381,1641,94,216,55,6/19/14
352016850081381,1763,94,216,68,6/19/14
352016850081381,1120,94,216,10,6/19/14
352016850081381,632,94,216,13,6/19/14
352016850081381,1297,94,216,17,6/19/14
352016850081381,791,94,216,12,6/19/14
352016850081381,643,93,216,14,6/19/14
352016850081381,717,93,216,15,6/19/14
352016850081381,544,91,216,19,6/19/14
352016850081381,1245,91,216,58,6/19/14
352016850081381,1837,91,216,30,6/19/14
352016850081381,1501,93,216,8,6/19/14
352016850081381,1015,93,216,12,6/19/14
352016850081381,1475,93,216,35,6/19/14
352016850081381,1451,93,216,40,6/19/14
352016850081381,1059,94,216,11,6/19/14
352016850081381,1007,94,216,48,6/19/14
352016850081381,1721,94,216,64,6/19/14
352016850081381,1711,94,216,76,6/19/14
352016850081381,1866,95,216,67,6/19/14
352016850081381,1479,95,216,11,6/19/14
352016850081381,1415,94,216,68,6/19/14
352016850081381,1568,93,216,58,6/19/14
352016850081381,1527,91,216,62,6/19/14
352016850081381,1058,91,216,13,6/19/14
352016850081381,739,91,216,20,6/19/14
352016850081381,1671,90,216,56,6/19/14
352016850081381,1408,90,216,27,6/19/14
352016850081381,1113,90,216,14,6/19/14
352016850081381,1321,90,216,15,6/19/14
352016850081381,962,90,216,20,6/19/14
352016850081381,642,90,216,15,6/19/14
352016850081381,619,90,216,14,6/19/14
352016850081381,667,90,216,19,6/19/14
352016850081381,1353,89,216,49,6/19/14
352016850081381,1704,90,216,44,6/19/14
352016850081381,1348,90,216,7,6/19/14
352016850081381,989,90,216,9,6/19/14
352016850081381,893,89,216,24,6/19/14
352016850081381,1424,89,216,29,6/19/14
352016850081381,1810,89,216,19,6/19/14
352016850081381,1692,89,216,11,6/19/14
352016850081381,1283,89,481,89,6/19/14
352016850081381,1854,89,481,77,6/19/14
352016850081381,1551,89,481,35,6/19/14
352016850081381,1400,89,481,32,6/19/14
352016850081381,1050,87,481,10,6/19/14
352016850081381,1426,86,481,31,6/19/14
352016850081381,1549,85,481,40,6/19/14
352016850081381,1508,85,481,64,6/19/14
352016850081381,1446,84,481,41,6/19/14
352016850081381,1421,84,481,10,6/19/14
352016850081381,615,84,481,16,6/19/14
352016850081381,601,84,481,18,6/19/14
352016850081381,529,83,470,24,6/19/14
352016850081381,554,83,470,23,6/19/14
352016850081381,853,82,470,19,6/19/14
352016850081381,853,82,470,19,6/19/14
352016850081381,853,82,470,19,6/19/14
352016850081381,2139,83,470,51,6/19/14
352016850081381,713,84,470,12,6/19/14
352016850081381,1592,85,470,64,6/19/14
352016850081381,1825,85,470,5,6/19/14
352016850081381,1519,86,470,47,6/19/14
352016850081381,1779,86,470,68,6/19/14
352016850081381,1675,87,470,22,6/19/14
352016850081381,1579,87,470,22,6/19/14
352016850081381,1534,94,1534,67,5/27/14
352016850081381,1534,94,1534,67,5/27/14
352016850081381,1534,94,1534,67,5/27/14
352016850081381,1502,95,168,88,6/2/14
352016850081381,1285,95,168,35,6/2/14
352016850081381,1014,93,168,62,6/2/14
352016850081381,1294,93,168,34,6/2/14
352016850081381,948,92,168,43,6/2/14
352016850081381,770,92,168,40,6/2/14
352016850081381,818,91,168,41,6/2/14
352016850081381,798,89,168,37,6/2/14
352016850081381,751,89,168,40,6/2/14
352016850081381,825,89,168,38,6/2/14
352016850081381,855,89,168,38,6/2/14
352016850081381,844,50,190,37,6/2/14
352016850081381,853,50,190,34,6/2/14
352016850081381,846,50,190,33,6/2/14
352016850081381,825,51,190,44,6/2/14
352016850081381,976,52,190,48,6/2/14
352016850081381,1204,52,190,36,6/2/14
352016850081381,1130,53,190,33,6/2/14
352016850081381,1098,54,190,78,6/2/14
352016850081381,1422,55,190,32,6/2/14
352016850081381,917,56,190,41,6/2/14
352016850081381,1717,56,190,74,6/2/14
352016850081381,1370,58,190,44,6/2/14
352016850081381,849,59,190,87,6/2/14
352016850081381,1255,59,190,32,6/2/14
352016850081381,1220,60,190,66,6/2/14
352016850081381,1739,61,190,45,6/2/14
352016850081381,2111,62,190,23,6/2/14
352016850081381,1759,62,190,24,6/2/14
352016850081381,1666,63,190,24,6/2/14
352016850081381,2091,64,190,25,6/2/14
352016850081381,2302,65,190,41,6/2/14
352016850081381,1833,65,190,28,6/2/14
352016850081381,1773,66,190,98,6/2/14
352016850081381,2289,67,190,35,6/2/14
352016850081381,2165,68,190,28,6/2/14
352016850081381,1855,69,190,26,6/2/14
352016850081381,1286,70,190,98,6/2/14
352016850081381,1774,71,190,34,6/2/14
352016850081381,1932,71,190,26,6/2/14
352016850081381,2066,73,190,42,6/2/14
352016850081381,2066,73,190,40,6/2/14
352016850081381,1819,74,190,28,6/2/14
352016850081381,-1,74,190,28,6/2/14
352016850081381,1691,76,190,93,6/2/14
352016850081381,2077,77,190,58,6/2/14
352016850081381,1942,77,190,34,6/2/14
352016850081381,1381,78,190,33,6/2/14
352016850081381,2053,91,701,37,6/8/14
352016850081381,2146,92,701,54,6/8/14
352016850081381,2243,92,701,32,6/8/14
352016850081381,2243,92,701,68,6/8/14
352016850081381,2307,93,701,42,6/8/14
352016850081381,2168,95,701,30,6/8/14
352016850081381,2005,95,701,31,6/8/14
352016850081381,1763,95,701,29,6/8/14
352016850081381,1143,95,701,52,6/8/14
352016850081381,1447,96,701,44,6/8/14
352016850081381,1986,96,701,80,6/8/14
352016850081381,1914,96,701,40,6/8/14
352016850081381,1929,98,701,34,6/8/14
352016850081381,1952,98,701,29,6/8/14
352016850081381,1853,98,701,28,6/8/14
352016850081381,1751,98,701,29,6/8/14
352016850081381,1074,100,701,32,6/8/14
352016850081381,820,100,701,33,6/8/14
352016850081381,789,100,701,33,6/8/14
352016850081381,780,100,701,33,6/8/14
352016850081381,785,100,701,33,6/8/14
352016850081381,792,100,701,33,6/8/14
352016850081381,782,100,701,33,6/8/14
352016850081381,1555,100,701,29,6/8/14
352016850081381,1826,96,701,58,6/8/14
352016850081381,2017,95,701,80,6/8/14
352016850081381,1929,92,701,29,6/8/14
352016850081381,1651,92,701,31,6/8/14
352016850081381,1589,93,701,32,6/8/14
352016850081381,1102,93,701,33,6/8/14
352016850081381,968,95,701,91,6/8/14
352016850081381,1191,95,701,33,6/8/14
352016850081381,863,95,701,33,6/8/14
352016850081381,1097,96,688,46,6/8/14
352016850081381,1097,96,688,46,6/8/14
352016850081381,1737,98,688,57,6/8/14
352016850081381,1554,98,688,32,6/8/14
352016850081381,1115,26,145,50,6/9/14
352016850081381,1089,28,145,49,6/9/14
352016850081381,1089,28,145,49,6/9/14
352016850081381,986,32,145,73,6/9/14
352016850081381,1822,39,145,84,6/9/14
352016850081381,1596,41,145,32,6/9/14
352016850081381,896,41,145,67,6/9/14
352016850081381,1011,42,145,43,6/9/14
352016850081381,928,44,145,52,6/9/14
352016850081381,1701,44,145,87,6/9/14
352016850081381,1989,45,145,24,6/9/14
352016850081381,2207,86,181,53,6/10/14
352016850081381,2186,86,181,99,6/10/14
352016850081381,2410,87,181,60,6/10/14
352016850081381,2413,88,181,27,6/10/14
352016850081381,1663,89,181,32,6/10/14
352016850081381,842,89,181,33,6/10/14
352016850081381,1488,89,181,95,6/10/14
352016850081381,1872,91,181,49,6/10/14
352016850081381,2120,92,181,98,6/10/14
352016850081381,2176,92,181,28,6/10/14
352016850081381,2021,93,181,28,6/10/14
352016850081381,1818,93,181,28,6/10/14
352016850081381,1238,95,181,32,6/10/14
352016850081381,1516,95,181,98,6/10/14
352016850081381,1828,95,181,56,6/10/14
352016850081381,2028,95,181,39,6/10/14
352016850081381,2087,95,181,29,6/10/14
352016850081381,2088,96,181,30,6/10/14
352016850081381,1905,96,181,98,6/10/14
352016850081381,2124,98,181,31,6/10/14
352016850081381,2083,98,181,28,6/10/14
352016850081381,1985,98,181,28,6/10/14
352016850081381,1620,100,181,32,6/10/14
352016850081381,1213,100,181,33,6/10/14
352016850081381,1460,100,181,31,6/10/14
352016850081381,828,98,181,37,6/10/14
352016850081381,773,95,181,60,6/10/14
352016850081381,753,93,181,51,6/10/14
352016850081381,816,93,181,51,6/10/14
352016850081381,840,95,181,67,6/10/14
352016850081381,993,95,181,35,6/10/14
352016850081381,855,95,181,52,6/10/14
352016850081381,1407,95,181,51,6/10/14
352016850081381,1834,95,181,70,6/10/14
352016850081381,1956,96,181,30,6/10/14
352016850081381,1416,98,181,32,6/10/14
352016850081381,1770,98,181,48,6/10/14
352016850081381,2262,98,181,86,6/10/14
352016850081381,1910,98,181,53,6/10/14
352016850081381,2012,98,181,29,6/10/14
352016850081381,2157,98,181,62,6/10/14
352016850081381,2250,96,181,37,6/10/14
352016850081381,2195,96,181,30,6/10/14
352016850081381,2024,96,181,29,6/10/14
352016850081381,2203,98,181,31,6/10/14
352016850081381,2004,98,181,33,6/10/14
352016850081381,2055,98,181,74,6/10/14
352016850081381,2170,98,181,73,6/10/14
352016850081381,2203,98,181,28,6/10/14
352016850081381,2020,98,181,79,6/10/14
352016850081381,2062,96,181,39,6/10/14
352016850081381,2179,96,181,28,6/10/14
352016850081381,2180,96,181,32,6/10/14
352016850081381,2117,96,181,30,6/10/14
352016850081381,1984,98,181,35,6/10/14
352016850081381,1979,98,181,63,6/10/14
352016850081381,-1,98,181,63,6/10/14
352016850081381,2038,98,181,38,6/10/14
352016850081381,905,61,219,20,6/21/14
352016850081381,1660,61,219,46,6/21/14
352016850081381,1418,63,219,34,6/21/14
352016850081381,1150,64,219,15,6/21/14
352016850081381,795,65,219,60,6/21/14
352016850081381,-1,65,219,60,6/21/14
352016850081381,1822,66,219,42,6/21/14
352016850081381,1050,67,219,22,6/21/14
352016850081381,549,67,219,34,6/21/14
352016850081381,846,67,219,35,6/21/14
352016850081381,1662,68,219,59,6/21/14
352016850081381,1742,69,219,42,6/21/14
352016850081381,1317,70,219,17,6/21/14
352016850081381,818,71,219,18,6/21/14
352016850081381,818,71,219,18,6/21/14
352016850081381,548,71,219,20,6/21/14
352016850081381,843,71,219,31,6/21/14
352016850081381,964,72,219,22,6/21/14
352016850081381,987,72,219,41,6/21/14
352016850081381,1916,72,219,33,6/21/14
352016850081381,1559,73,219,51,6/21/14
352016850081381,1513,74,219,18,6/21/14
352016850081381,1240,74,219,38,6/21/14
352016850081381,1715,75,219,34,6/21/14
352016850081381,1578,76,219,33,6/21/14
352016850081381,1486,77,219,20,6/21/14
352016850081381,1068,78,219,20,6/21/14
352016850081381,664,78,219,23,6/21/14
352016850081381,1697,78,219,36,6/21/14
352016850081381,1671,79,219,47,6/21/14
352016850081381,1268,79,219,9,6/21/14
352016850081381,1539,80,219,25,6/21/14
352016850081381,820,79,219,19,6/21/14
352016850081381,841,79,219,42,6/21/14
352016850081381,1244,79,219,20,6/21/14
352016850081381,853,79,219,42,6/21/14
352016850081381,1681,79,219,40,6/21/14
352016850081381,1332,79,219,21,6/21/14
352016850081381,725,79,219,18,6/21/14
352016850081381,1253,80,32,7,6/21/14
352016850081381,1083,80,32,6,6/21/14
352016850081381,556,80,32,20,6/21/14
352016850081381,554,80,32,28,6/21/14
352016850081381,721,80,249,26,6/21/14
352016850081381,592,80,249,33,6/21/14
352016850081381,1033,80,249,44,6/21/14
352016850081381,1759,80,249,40,6/21/14
352016850081381,741,80,249,25,6/21/14
352016850081381,550,80,249,33,6/21/14
352016850081381,1429,81,249,58,6/21/14
352016850081381,1836,81,249,70,6/21/14
352016850081381,1676,81,249,62,6/21/14
352016850081381,1244,82,249,19,6/21/14
352016850081381,1217,82,249,14,6/21/14
352016850081381,717,82,249,21,6/21/14
352016850081381,527,81,249,29,6/21/14
352016850081381,1660,81,249,42,6/21/14
352016850081381,1599,81,249,29,6/21/14
352016850081381,645,82,249,17,6/21/14
352016850081381,1543,82,249,40,6/21/14
352016850081381,1067,82,249,16,6/21/14
352016850081381,576,81,249,17,6/21/14
352016850081381,1357,81,249,29,6/21/14
352016850081381,1045,81,249,13,6/21/14
352016850081381,699,82,249,31,6/21/14
352016850081381,590,82,249,29,6/21/14
352016850081381,597,83,249,27,6/21/14
352016850081381,1363,26,42,26,6/22/14
352016850081381,882,28,42,36,6/22/14
352016850081381,855,29,42,39,6/22/14
352016850081381,756,30,42,36,6/22/14
352016850081381,869,31,42,43,6/22/14
352016850081381,923,33,42,28,6/22/14
352016850081381,638,33,42,44,6/22/14
352016850081381,795,34,42,55,6/22/14
352016850081381,856,35,42,47,6/22/14
352016850081381,581,36,42,41,6/22/14
352016850081381,599,37,42,43,6/22/14
352016850081381,707,38,42,46,6/22/14
352016850081381,740,39,42,53,6/22/14
352016850081381,1008,40,42,52,6/22/14
352016850081381,1780,41,42,62,6/22/14
352016850081381,1266,43,42,55,6/22/14
352016850081381,1312,45,42,60,6/22/14
352016850081381,2143,45,42,61,6/22/14
352016850081381,2012,48,42,49,6/22/14
352016850081381,1617,50,42,17,6/22/14
352016850081381,1428,52,42,51,6/22/14
352016850081381,-1,52,42,51,6/22/14
352016850081381,1605,54,42,49,6/22/14
352016850081381,1697,55,42,37,6/22/14
352016850081381,1817,57,42,26,6/22/14
352016850081381,766,58,42,20,6/22/14
352016850081381,1509,59,42,38,6/22/14
352016850081381,1119,60,42,13,6/22/14
352016850081381,555,61,42,33,6/22/14
352016850081381,623,61,42,40,6/22/14
352016850081381,861,61,42,35,6/22/14
352016850081381,1304,62,42,49,6/22/14
352016850081381,1986,63,42,59,6/22/14
352016850081381,1870,63,42,60,6/22/14
352016850081381,1632,66,42,26,6/22/14
352016850081381,1000,67,42,29,6/22/14
352016850081381,604,68,42,20,6/22/14
352016850081381,1312,69,42,70,6/22/14
352016850081381,1814,70,42,43,6/22/14
352016850081381,1328,71,42,53,6/22/14
352016850081381,1674,72,42,66,6/22/14
352016850081381,1857,89,601,98,6/1/14
352016850081381,2035,91,601,98,6/1/14
352016850081381,1800,91,601,33,6/1/14
352016850081381,1715,92,601,35,6/1/14
352016850081381,1461,92,601,31,6/1/14
352016850081381,854,92,601,34,6/1/14
352016850081381,782,92,601,35,6/1/14
352016850081381,787,92,601,65,6/1/14
352016850081381,1556,92,601,37,6/1/14
352016850081381,2104,92,601,28,6/1/14
352016850081381,2491,92,601,26,6/1/14
352016850081381,1684,92,601,32,6/1/14
352016850081381,853,93,601,34,6/1/14
352016850081381,799,93,601,36,6/1/14
352016850081381,791,95,601,37,6/1/14
352016850081381,1103,95,601,80,6/1/14
352016850081381,1564,95,601,51,6/1/14
352016850081381,1904,95,601,98,6/1/14
352016850081381,2054,93,601,64,6/1/14
352016850081381,1852,93,601,29,6/1/14
352016850081381,1200,92,601,89,6/1/14
352016850081381,1817,92,601,30,6/1/14
352016850081381,1625,92,601,40,6/1/14
352016850081381,1355,91,601,34,6/1/14
352016850081381,737,91,601,55,6/1/14
352016850081381,1113,89,601,34,6/1/14
352016850081381,1037,89,601,40,6/1/14
352016850081381,1748,89,601,39,6/1/14
352016850081381,1807,91,601,49,6/1/14
352016850081381,1842,91,601,31,6/1/14
352016850081381,1208,92,601,33,6/1/14
352016850081381,1425,92,601,37,6/1/14
352016850081381,1707,92,601,29,6/1/14
352016850081381,1028,92,601,34,6/1/14
352016850081381,775,93,601,36,6/1/14
352016850081381,787,95,601,35,6/1/14
352016850081381,790,95,601,38,6/1/14
352016850081381,787,95,601,37,6/1/14
352016850081381,782,95,601,37,6/1/14
352016850081381,771,95,601,88,6/1/14
352016850081381,1537,95,601,33,6/1/14
352016850081381,1082,93,601,37,6/1/14
352016850081381,1085,92,601,59,6/1/14
352016850081381,1534,92,601,32,6/1/14
352016850081381,1710,92,601,58,6/1/14
352016850081381,2045,91,601,31,6/1/14
352016850081381,1996,89,601,32,6/1/14
352016850081381,2201,89,601,48,6/1/14
352016850081381,1586,89,601,31,6/1/14
352016850081381,1618,89,601,49,6/1/14
352016850081381,1587,91,601,30,6/1/14
352016850081381,1319,91,601,33,6/1/14
352016850081381,763,91,601,67,6/1/14
352016850081381,836,92,601,40,6/1/14
352016850081381,839,92,601,35,6/1/14
352016850081381,789,92,601,35,6/1/14
352016850081381,774,92,601,35,6/1/14
352016850081381,796,93,601,49,6/1/14
352016850081381,803,95,601,38,6/1/14
352016850081381,837,95,601,39,6/1/14
352016850081381,1181,95,601,76,6/1/14
352016850081381,1616,95,601,31,6/1/14
352016850081381,1541,95,601,34,6/1/14
352016850081381,1612,93,601,40,6/1/14
352016850081381,1941,93,601,30,6/1/14
352016850081381,1078,92,601,35,6/1/14
352016850081381,753,92,601,42,6/1/14
352016850081381,805,92,601,37,6/1/14
352016850081381,787,92,601,37,6/1/14
352016850081381,763,91,601,37,6/1/14
352016850081381,1316,91,601,68,6/1/14
352016850081381,1189,89,601,33,6/1/14
352016850081381,839,89,601,35,6/1/14
352016850081381,-1,89,601,35,6/1/14
352016850081381,980,91,601,36,6/1/14
352016850081381,779,92,601,37,6/1/14
352016850081381,819,92,601,36,6/1/14
352016850081381,582,92,174,-1,6/1/14
352016850081381,781,76,207,74,6/1/14
352016850081381,1557,88,184,65,6/3/14
352016850081381,1778,88,184,62,6/3/14
352016850081381,1089,29,189,40,6/3/14
352016850081381,1052,31,189,40,6/3/14
352016850081381,1043,32,189,39,6/3/14
352016850081381,1031,32,189,39,6/3/14
352016850081381,1027,34,189,38,6/3/14
352016850081381,1621,92,168,31,6/11/14
352016850081381,1302,92,168,68,6/11/14
352016850081381,1421,92,168,98,6/11/14
352016850081381,1183,93,168,39,6/11/14
352016850081381,769,93,168,37,6/11/14
352016850081381,772,95,168,35,6/11/14
352016850081381,818,95,168,74,6/11/14
352016850081381,1902,95,168,34,6/11/14
352016850081381,2418,95,168,73,6/11/14
352016850081381,2154,96,168,98,6/11/14
352016850081381,1964,96,168,29,6/11/14
